Id_cliente,churn,genero,idoso,possui_parceiro,possui_dependentes,tempo_de_contato,servico_telefonico,varias_linhas_telefonicas,tipo_de_internet,seguraca_online,backup_online,protecao_de_dispositivo,suporte_tecnico,tv_por_streaming,filmes_por_streaming,tipo_de_contrato,fatura_digital,forma_de_pagamento,gasto_mensal,gasto_total,contas_diarias
1475-VWVDO,No,Masculino,No,No,No,7,Yes,No,Fibra óptica,No,No,Yes,No,No,No,Mês a mês,Yes,Cheque eletrônico,74.9,490.55,2.335952380952381
1478-VPOAD,No,Feminino,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,No,Cheque eletrônico,43.8,43.8,1.46
1480-BKXGA,No,Masculino,Yes,Yes,No,72,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Transferência bancária (automática),116.05,8404.9,3.891157407407407
1480-IVEVR,No,Masculino,Yes,Yes,No,35,Yes,Yes,Fibra óptica,No,No,Yes,No,No,No,Um ano,Yes,Transferência bancária (automática),81.6,2815.25,2.6811904761904763
1481-ZUWZA,Yes,Masculino,No,No,No,28,Yes,Yes,Fibra óptica,Yes,Yes,No,No,No,Yes,Mês a mês,Yes,Cartão de crédito (automático),94.5,2659.4,3.165952380952381
1482-OXZSY,No,Masculino,No,No,No,30,Yes,Yes,Fibra óptica,Yes,No,No,No,Yes,Yes,Mês a mês,Yes,Transferência bancária (automática),100.4,2936.25,3.2625
1485-YDHMM,No,Masculino,No,Yes,Yes,52,Yes,Yes,Fibra óptica,No,Yes,No,Yes,No,Yes,Mês a mês,Yes,Transferência bancária (automática),93.25,4631.7,2.9690384615384615
1488-PBLJN,No,Feminino,No,Yes,Yes,72,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Transferência bancária (automática),116.85,8477.7,3.9248611111111114
1488-SYSFC,No,Masculino,No,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,Cheque eletrônico,20.65,702.05,0.7548924731182796
1492-KGETH,No,Masculino,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Um ano,No,Transferência bancária (automática),78.35,5445.95,2.593309523809524
1492-QGCLU,No,Masculino,No,Yes,Yes,53,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Mês a mês,No,Cheque eletrônico,85.7,4616.1,2.9032075471698113
1493-AMTIE,Yes,Masculino,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,Transferência bancária (automática),20.2,20.2,0.6733333333333333
1494-EJZDW,No,Feminino,No,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cheque enviado,20.15,220.8,0.736
1496-GGSUK,Yes,Feminino,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Mês a mês,Yes,Cheque enviado,25.7,25.7,0.8566666666666667
1498-DQNRX,No,Feminino,No,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cheque enviado,19.85,573.05,0.6586781609195401
1498-NHTLT,No,Masculino,No,Yes,Yes,59,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Cheque eletrônico,86.75,5186.0,2.929943502824859
1501-SGHBW,Yes,Masculino,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,No,Cheque enviado,45.85,81.0,1.35
1502-XFCVR,Yes,Feminino,No,No,No,58,Yes,No,Fibra óptica,Yes,Yes,Yes,No,Yes,Yes,Um ano,Yes,Cheque eletrônico,106.45,6145.85,3.5320977011494255
1506-YJTYT,No,Masculino,No,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Dois anos,No,Cartão de crédito (automático),73.85,3371.0,2.497037037037037
1508-DFXCU,No,Masculino,No,No,No,12,Yes,No,Fibra óptica,No,No,No,No,Yes,No,Mês a mês,Yes,Cheque eletrônico,81.45,912.0,2.533333333333333
1513-XNPPH,Yes,Feminino,No,No,No,12,Yes,No,Fibra óptica,No,No,Yes,Yes,No,Yes,Mês a mês,Yes,Cheque eletrônico,89.4,1095.65,3.0434722222222224
1518-OMDIK,No,Masculino,No,Yes,No,33,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,Yes,Cartão de crédito (automático),44.55,1462.6,1.4773737373737372
1518-VOWAV,Yes,Feminino,No,No,No,9,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,74.65,703.55,2.6057407407407407
1522-VVDMG,Yes,Masculino,No,Yes,Yes,7,Yes,No,Fibra óptica,No,Yes,No,Yes,Yes,No,Mês a mês,Yes,Cheque eletrônico,89.75,608.8,2.899047619047619
1525-LNLOJ,No,Masculino,No,Yes,Yes,66,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Dois anos,Yes,Transferência bancária (automática),63.3,4189.7,2.116010101010101
1527-SXDPN,Yes,Masculino,No,Yes,Yes,52,Yes,Yes,Fibra óptica,No,No,Yes,Yes,No,Yes,Dois anos,Yes,Transferência bancária (automática),96.25,4990.25,3.198878205128205
1530-ZTDOZ,No,Feminino,No,Yes,No,49,No,No phone service,DSL,Yes,No,No,No,Yes,No,Mês a mês,No,Transferência bancária (automática),40.65,2070.75,1.4086734693877552
1534-OULXE,No,Feminino,No,Yes,Yes,61,Yes,No,DSL,Yes,No,No,No,No,No,Um ano,Yes,Transferência bancária (automática),49.7,2961.4,1.6182513661202187
1535-VTJOQ,No,Feminino,No,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cartão de crédito (automático),25.15,553.0,0.7680555555555556
1536-HBSWP,No,Feminino,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Mês a mês,Yes,Cheque eletrônico,49.9,49.9,1.6633333333333333
1536-YHDOE,No,Masculino,No,Yes,Yes,17,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Um ano,Yes,Cheque enviado,62.1,1096.65,2.150294117647059
1539-LNKHM,No,Feminino,No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cheque enviado,20.4,266.6,0.7405555555555556
1541-ETJZO,Yes,Masculino,No,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Mês a mês,No,Cheque enviado,62.05,62.05,2.0683333333333334
1543-LLLFT,No,Masculino,Yes,Yes,No,61,Yes,Yes,Fibra óptica,No,Yes,Yes,Yes,Yes,No,Um ano,Yes,Cheque enviado,98.3,6066.55,3.3150546448087432
1544-JJMYL,No,Masculino,No,No,No,27,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Um ano,No,Cartão de crédito (automático),69.35,1927.3,2.3793827160493826
1545-ACTAS,No,Feminino,No,Yes,Yes,48,Yes,No,Fibra óptica,Yes,No,Yes,No,Yes,Yes,Um ano,Yes,Transferência bancária (automática),99.7,4977.2,3.4563888888888887
1545-JFUML,No,Masculino,No,Yes,No,71,Yes,Yes,Fibra óptica,Yes,Yes,Yes,No,Yes,No,Dois anos,Yes,Cheque eletrônico,99.0,6994.6,3.283849765258216
1548-ARAGG,No,Feminino,No,Yes,Yes,4,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Mês a mês,Yes,Cheque enviado,58.5,224.85,1.87375
1548-FEHVL,No,Masculino,No,Yes,No,61,Yes,Yes,Fibra óptica,Yes,Yes,No,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,106.2,6375.2,3.4837158469945355
1550-EENBN,No,Feminino,No,No,No,31,Yes,Yes,Fibra óptica,Yes,Yes,No,No,Yes,Yes,Mês a mês,No,Cheque eletrônico,104.35,3205.6,3.4468817204301074
1550-LOAHA,Yes,Feminino,No,Yes,No,32,Yes,No,Fibra óptica,No,Yes,No,No,No,Yes,Mês a mês,No,Transferência bancária (automática),84.15,2585.95,2.6936979166666664
1552-AAGRX,No,Feminino,No,No,No,30,Yes,Yes,Fibra óptica,Yes,No,No,Yes,Yes,Yes,Mês a mês,No,Transferência bancária (automática),106.4,3211.9,3.568777777777778
1552-CZCLL,No,Feminino,No,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cartão de crédito (automático),20.0,1087.25,0.6589393939393939
1552-TKMXS,No,Feminino,No,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cartão de crédito (automático),20.35,869.9,0.6903968253968253
1555-DJEQW,Yes,Feminino,No,Yes,Yes,70,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Transferência bancária (automática),114.2,7723.9,3.678047619047619
1555-HAPSU,No,Feminino,No,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cartão de crédito (automático),23.9,1663.5,0.7809859154929577
1557-EMYVT,No,Feminino,No,No,No,43,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,No,Cartão de crédito (automático),115.05,4895.1,3.794651162790698
1559-DTODC,No,Masculino,No,No,No,19,No,No phone service,DSL,No,No,No,No,No,No,Mês a mês,Yes,Transferência bancária (automática),25.15,468.35,0.8216666666666667
1561-BWHIN,No,Masculino,No,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Cheque enviado,19.8,344.5,0.6043859649122807
1563-IWQEX,No,Feminino,No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cheque enviado,19.7,220.35,0.6120833333333333
1564-HJUVY,No,Masculino,No,No,No,4,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Mês a mês,Yes,Transferência bancária (automática),63.75,226.2,1.885
1564-NTYXF,Yes,Feminino,Yes,No,No,13,Yes,Yes,Fibra óptica,No,No,No,No,No,Yes,Mês a mês,Yes,Cheque eletrônico,82.0,1127.2,2.8902564102564106
1565-RHDJD,Yes,Feminino,No,No,Yes,4,Yes,Yes,Fibra óptica,No,Yes,Yes,No,No,No,Mês a mês,No,Transferência bancária (automática),84.05,333.55,2.7795833333333335
1567-DSCIC,Yes,Masculino,No,No,No,8,Yes,Yes,Fibra óptica,No,Yes,Yes,No,Yes,No,Mês a mês,Yes,Cheque eletrônico,94.0,773.65,3.2235416666666667
1568-BEKZM,No,Masculino,Yes,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,No,Cartão de crédito (automático),90.05,6333.4,3.015904761904762
1568-LJSZU,No,Masculino,No,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Cartão de crédito (automático),92.2,6392.85,3.13375
1569-TTNYJ,Yes,Masculino,No,Yes,No,5,Yes,Yes,Fibra óptica,No,Yes,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,78.75,412.1,2.7473333333333336
1571-SAVHK,Yes,Masculino,No,No,No,12,Yes,Yes,Fibra óptica,No,No,No,Yes,Yes,Yes,Mês a mês,Yes,Cheque enviado,99.95,1132.75,3.1465277777777776
1573-LGXBA,No,Masculino,No,Yes,Yes,57,Yes,No,Fibra óptica,No,Yes,Yes,No,Yes,Yes,Um ano,Yes,Cartão de crédito (automático),97.55,5598.0,3.2736842105263158
1574-DYCWE,No,Feminino,No,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cheque enviado,19.95,1028.75,0.6723856209150327
1575-KRZZE,No,Feminino,No,No,No,4,Yes,No,DSL,Yes,Yes,No,No,No,No,Mês a mês,No,Cheque eletrônico,55.2,220.65,1.83875
1576-PFZIW,No,Masculino,Yes,Yes,No,70,Yes,No,Fibra óptica,Yes,Yes,Yes,No,Yes,Yes,Dois anos,No,Cartão de crédito (automático),105.35,7511.9,3.577095238095238
1577-HKTFG,Yes,Feminino,No,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Transferência bancária (automática),19.65,655.85,0.7287222222222223
1579-KLYDT,Yes,Masculino,No,No,No,7,Yes,Yes,Fibra óptica,No,No,Yes,No,Yes,No,Mês a mês,Yes,Cheque eletrônico,90.45,593.45,2.825952380952381
1580-BMCMR,No,Masculino,Yes,No,No,19,Yes,No,Fibra óptica,Yes,No,No,No,No,Yes,Mês a mês,Yes,Cheque eletrônico,87.3,1637.3,2.8724561403508773
1582-RAFML,Yes,Masculino,No,No,No,1,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Mês a mês,No,Cheque enviado,60.1,60.1,2.0033333333333334
1583-IHQZE,Yes,Masculino,No,No,No,12,Yes,Yes,Fibra óptica,No,Yes,Yes,Yes,Yes,Yes,Mês a mês,Yes,Cheque enviado,112.95,1384.75,3.8465277777777778
1585-MQSSU,Yes,Masculino,No,No,No,17,Yes,No,DSL,No,No,No,Yes,No,No,Mês a mês,No,Cheque enviado,51.5,900.5,1.7656862745098039
1587-FKLZB,Yes,Masculino,Yes,Yes,Yes,66,Yes,Yes,Fibra óptica,No,No,Yes,No,Yes,Yes,Mês a mês,Yes,Cartão de crédito (automático),99.5,6822.15,3.445530303030303
1589-AGTLK,Yes,Masculino,No,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,45.35,141.5,1.5722222222222222
1591-MQJTP,No,Masculino,Yes,Yes,No,51,Yes,Yes,Fibra óptica,Yes,No,Yes,No,No,Yes,Um ano,Yes,Transferência bancária (automática),93.65,4839.15,3.1628431372549017
1591-NFNLQ,Yes,Masculino,No,No,No,51,Yes,Yes,Fibra óptica,No,No,Yes,No,No,No,Mês a mês,No,Cartão de crédito (automático),80.0,4242.35,2.7727777777777782
1591-XWLGB,No,Feminino,No,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cartão de crédito (automático),19.85,1379.6,0.6476995305164319
1596-BBVTG,Yes,Masculino,No,No,No,35,Yes,Yes,Fibra óptica,No,No,No,No,No,No,Mês a mês,No,Cartão de crédito (automático),75.35,2636.05,2.51052380952381
1596-OQSPS,No,Feminino,No,No,No,11,Yes,No,DSL,No,Yes,No,No,No,No,Mês a mês,No,Cheque eletrônico,51.1,531.15,1.6095454545454544
1597-FZREH,Yes,Feminino,No,No,No,2,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Mês a mês,No,Cheque eletrônico,76.4,160.8,2.68
1597-LHYNC,Yes,Feminino,Yes,No,No,26,Yes,Yes,Fibra óptica,Yes,Yes,No,No,No,Yes,Mês a mês,Yes,Cheque eletrônico,95.0,2497.2,3.2015384615384614
1599-EAHXY,No,Masculino,No,Yes,Yes,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Cartão de crédito (automático),23.95,1506.4,0.8368888888888889
1599-MMYRQ,No,Masculino,No,Yes,Yes,62,Yes,No,Fibra óptica,Yes,Yes,No,No,No,No,Um ano,Yes,Cartão de crédito (automático),81.45,4983.05,2.6790591397849464
1600-DILPE,No,Feminino,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,Yes,Transferência bancária (automática),45.0,524.35,1.4565277777777779
1602-IJQQE,Yes,Feminino,No,No,No,4,Yes,Yes,Fibra óptica,No,No,No,No,No,No,Mês a mês,No,Cheque eletrônico,75.35,338.1,2.8175000000000003
1608-GMEWB,No,Masculino,Yes,No,No,45,Yes,Yes,Fibra óptica,No,No,No,No,Yes,Yes,Mês a mês,Yes,Transferência bancária (automática),93.9,4200.25,3.1112962962962962
1612-EOHDH,Yes,Feminino,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,No,Cheque eletrônico,45.15,45.15,1.505
1614-JBEBI,No,Feminino,No,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,Cheque enviado,20.7,137.6,0.5733333333333334
1618-CFHME,Yes,Feminino,No,No,No,2,Yes,Yes,Fibra óptica,No,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,75.9,143.35,2.3891666666666667
1619-YWUBB,No,Feminino,No,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,Yes,Cartão de crédito (automático),24.95,1614.9,0.7916176470588235
1621-YNCJH,No,Feminino,No,Yes,No,36,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,No,Yes,Dois anos,Yes,Cartão de crédito (automático),106.05,3834.4,3.5503703703703704
1622-HSHSF,No,Feminino,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,Cheque enviado,19.55,19.55,0.6516666666666667
1623-NLDOT,Yes,Feminino,No,Yes,No,42,No,No phone service,DSL,No,Yes,No,Yes,No,No,Um ano,No,Cheque enviado,33.55,1445.3,1.1470634920634921
1624-NALOJ,Yes,Masculino,Yes,No,No,5,Yes,Yes,Fibra óptica,No,Yes,No,No,No,Yes,Mês a mês,Yes,Cheque eletrônico,89.8,502.6,3.3506666666666667
1624-WOIWJ,Yes,Feminino,No,No,No,10,Yes,No,Fibra óptica,Yes,No,No,No,Yes,No,Mês a mês,Yes,Cheque enviado,84.7,832.05,2.7735
1625-JAIIY,Yes,Feminino,No,Yes,Yes,68,Yes,Yes,Fibra óptica,No,No,No,No,Yes,No,Um ano,Yes,Cheque eletrônico,83.0,5685.8,2.787156862745098
1626-ERCMM,Yes,Masculino,Yes,Yes,No,20,Yes,Yes,Fibra óptica,No,No,No,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,94.55,1899.65,3.1660833333333334
1627-AFWVJ,No,Feminino,No,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cheque enviado,19.4,554.25,0.6370689655172413
1628-BIZYP,No,Masculino,No,No,No,1,Yes,No,Fibra óptica,No,Yes,No,No,No,Yes,Mês a mês,Yes,Cheque eletrônico,85.0,85.0,2.8333333333333335
1629-DQQVB,No,Feminino,No,No,No,14,Yes,No,DSL,Yes,No,No,No,No,No,Mês a mês,No,Transferência bancária (automática),50.1,709.5,1.6892857142857143
1635-FJFCC,No,Feminino,No,No,No,5,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,Yes,Cartão de crédito (automático),44.05,202.15,1.3476666666666668
1635-HDGFT,No,Feminino,No,No,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cheque enviado,20.5,398.55,0.6992105263157895
1635-NZATJ,No,Masculino,Yes,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cartão de crédito (automático),25.45,1789.65,0.8402112676056338
1636-NTNCO,No,Masculino,Yes,No,No,4,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Mês a mês,Yes,Cartão de crédito (automático),50.95,207.35,1.7279166666666665
1640-PLFMP,No,Feminino,No,No,No,1,Yes,No,Fibra óptica,No,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,70.25,70.25,2.341666666666667
1641-BYBTK,No,Masculino,No,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,Cheque enviado,20.2,98.35,0.5463888888888888
1641-RQDAY,No,Feminino,Yes,Yes,Yes,32,Yes,Yes,Fibra óptica,No,Yes,No,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,100.4,3217.65,3.3517187500000003
1642-HMARX,No,Feminino,No,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Cheque eletrônico,91.7,6424.7,3.1493627450980393
1644-IRKSF,Yes,Feminino,No,Yes,Yes,33,Yes,No,Fibra óptica,No,No,Yes,No,Yes,Yes,Um ano,Yes,Cheque eletrônico,93.8,3124.5,3.1560606060606062
1656-DRSMG,No,Feminino,No,No,No,63,Yes,Yes,Fibra óptica,No,Yes,Yes,Yes,Yes,Yes,Mês a mês,Yes,Cartão de crédito (automático),109.85,7002.95,3.70526455026455
1657-DYMBM,No,Masculino,No,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cartão de crédito (automático),19.9,1110.05,0.6981446540880503
1658-BYGOY,Yes,Masculino,Yes,No,No,18,Yes,Yes,Fibra óptica,No,No,No,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,95.45,1752.55,3.245462962962963
1658-TJVOA,No,Feminino,Yes,No,No,6,Yes,No,Fibra óptica,Yes,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,74.1,450.9,2.505
1658-XUHBX,No,Feminino,Yes,Yes,Yes,59,Yes,Yes,Fibra óptica,No,No,Yes,No,No,Yes,Mês a mês,Yes,Cartão de crédito (automático),88.75,5348.65,3.02183615819209
1660-HSOOQ,Yes,Masculino,No,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Mês a mês,Yes,Cheque enviado,49.65,49.65,1.655
1661-CZBAU,No,Masculino,No,No,No,48,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Um ano,Yes,Transferência bancária (automática),70.95,3629.2,2.520277777777778
1663-MHLHE,No,Masculino,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cheque enviado,19.2,19.2,0.64
1666-JXLKU,No,Feminino,No,No,No,37,Yes,Yes,Fibra óptica,No,No,Yes,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,100.05,3810.55,3.432927927927928
1666-JZPZT,No,Masculino,No,No,No,27,Yes,Yes,DSL,No,No,No,No,No,No,Mês a mês,No,Cheque enviado,49.0,1291.35,1.594259259259259
1670-SVOWZ,Yes,Feminino,No,Yes,Yes,14,Yes,No,Fibra óptica,No,Yes,No,Yes,No,Yes,Mês a mês,Yes,Cartão de crédito (automático),89.65,1208.35,2.877023809523809
1676-MQAOA,No,Masculino,No,No,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Dois anos,Yes,Transferência bancária (automática),75.1,5336.35,2.4705324074074078
1678-FYZOW,Yes,Feminino,No,No,No,3,Yes,No,Fibra óptica,No,No,No,No,Yes,No,Mês a mês,Yes,Cheque eletrônico,79.4,244.65,2.7183333333333333
1679-JRFBR,No,Feminino,No,Yes,Yes,70,Yes,Yes,Fibra óptica,Yes,Yes,Yes,No,Yes,Yes,Um ano,Yes,Cartão de crédito (automático),108.15,7930.55,3.776452380952381
1680-VDCWW,No,Masculino,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Transferência bancária (automática),19.8,202.25,0.5618055555555556
1682-VCOIO,No,Masculino,No,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Cheque enviado,20.45,481.1,0.6972463768115942
1684-FLBGS,No,Feminino,No,Yes,Yes,23,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Mês a mês,Yes,Cartão de crédito (automático),69.5,1652.1,2.3943478260869564
1685-BQULA,No,Feminino,No,No,No,40,Yes,Yes,Fibra óptica,No,Yes,Yes,No,Yes,No,Mês a mês,Yes,Transferência bancária (automática),93.4,3756.4,3.130333333333333
1685-VAYJF,No,Masculino,No,No,No,11,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,No,Cartão de crédito (automático),45.2,492.0,1.490909090909091
1686-STUHN,No,Masculino,No,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Transferência bancária (automática),19.8,849.9,0.6745238095238095
1689-MRZQR,Yes,Masculino,No,Yes,Yes,34,Yes,No,Fibra óptica,No,No,No,No,Yes,No,Mês a mês,No,Cheque eletrônico,78.3,2564.3,2.5140196078431374
1689-YQBYY,No,Feminino,No,No,Yes,12,Yes,Yes,Fibra óptica,No,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,76.6,893.0,2.4805555555555556
1696-HXOWK,No,Feminino,No,Yes,No,71,Yes,Yes,Fibra óptica,Yes,Yes,No,No,Yes,No,Um ano,No,Cheque enviado,95.65,6856.95,3.219225352112676
1696-MZVAU,No,Masculino,No,Yes,Yes,39,No,No phone service,DSL,No,No,No,No,No,No,Um ano,Yes,Cartão de crédito (automático),25.25,947.75,0.810042735042735
1697-BCSHV,No,Feminino,No,Yes,Yes,58,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Mês a mês,Yes,Transferência bancária (automática),66.8,3970.4,2.28183908045977
1697-LYYYX,No,Feminino,No,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Cartão de crédito (automático),19.1,1143.8,0.6250273224043715
1697-NVVGY,No,Masculino,Yes,Yes,No,19,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Mês a mês,No,Transferência bancária (automática),66.4,1286.05,2.2562280701754385
1698-XFZCI,No,Masculino,No,No,No,61,Yes,Yes,Fibra óptica,Yes,Yes,Yes,No,Yes,Yes,Um ano,Yes,Cheque eletrônico,107.75,6521.9,3.563879781420765
1699-HPSBG,Yes,Masculino,No,No,No,12,Yes,No,DSL,No,No,No,Yes,Yes,No,Um ano,Yes,Cheque eletrônico,59.8,727.8,2.0216666666666665
1699-TLDLZ,No,Feminino,No,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cheque enviado,19.7,301.55,0.6282291666666667
1699-UOTXU,No,Masculino,No,No,No,60,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Dois anos,No,Cheque eletrônico,61.4,3638.25,2.02125
1702-CCFNJ,No,Masculino,No,Yes,No,52,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Mês a mês,No,Transferência bancária (automática),61.35,3169.55,2.0317628205128204
1703-MGIAB,No,Feminino,No,No,No,17,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Mês a mês,Yes,Cheque enviado,69.0,1108.0,2.172549019607843
1704-NRWYE,Yes,Feminino,Yes,No,No,9,Yes,No,Fibra óptica,No,No,No,No,Yes,No,Mês a mês,Yes,Cheque eletrônico,80.85,751.65,2.783888888888889
1705-GUHPV,No,Feminino,No,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cheque enviado,24.2,1618.2,0.8561904761904762
1707-HABPF,No,Feminino,Yes,No,No,46,Yes,No,Fibra óptica,No,Yes,Yes,No,Yes,No,Um ano,Yes,Transferência bancária (automática),91.3,4126.35,2.9901086956521743
1708-PBBOA,No,Feminino,No,No,No,42,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Um ano,Yes,Cheque eletrônico,54.75,2348.45,1.8638492063492063
1709-EJDOX,No,Feminino,No,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cheque enviado,19.75,948.9,0.6729787234042554
1710-RCXUS,No,Masculino,No,Yes,No,51,Yes,Yes,Fibra óptica,No,Yes,No,No,No,Yes,Um ano,Yes,Cartão de crédito (automático),90.35,4614.55,3.016045751633987
1716-LSAMB,No,Masculino,No,Yes,Yes,45,Yes,No,DSL,Yes,No,No,Yes,No,No,Dois anos,No,Transferência bancária (automática),54.65,2553.7,1.8916296296296295
